Type,Category,Year 1,Amount
ELECTRICITY GENERATION (MWh),Steam & Slow Speed Plants,2010,"1,673,386"
ELECTRICITY GENERATION (MWh),Steam & Slow Speed Plants,2011,"1,583,387"
ELECTRICITY GENERATION (MWh),Steam & Slow Speed Plants,2012,"1,500,498"
ELECTRICITY GENERATION (MWh),Steam & Slow Speed Plants,2013,"1,499,306"
ELECTRICITY GENERATION (MWh),Steam & Slow Speed Plants,2014,"1,460,625"
ELECTRICITY GENERATION (MWh),Steam & Slow Speed Plants,2015,"1,530,024"
ELECTRICITY GENERATION (MWh),Gas Turbines Plants,2010,"968,752"
ELECTRICITY GENERATION (MWh),Gas Turbines Plants,2011,"990,125"
ELECTRICITY GENERATION (MWh),Gas Turbines Plants,2012,"942,402"
ELECTRICITY GENERATION (MWh),Gas Turbines Plants,2013,"719,134"
ELECTRICITY GENERATION (MWh),Gas Turbines Plants,2014,"854,119"
ELECTRICITY GENERATION (MWh),Gas Turbines Plants,2015,"870,934"
ELECTRICITY GENERATION (MWh),Hydro,2010,151665
ELECTRICITY GENERATION (MWh),Hydro,2011,152157
ELECTRICITY GENERATION (MWh),Hydro,2012,"150,695"
ELECTRICITY GENERATION (MWh),Hydro,2013,"124,345"
ELECTRICITY GENERATION (MWh),Hydro,2014,"135,955"
ELECTRICITY GENERATION (MWh),Hydro,2015,"128,951"
ELECTRICITY GENERATION (MWh),JPS Net Generation,2010,"2,793,803"
ELECTRICITY GENERATION (MWh),JPS Net Generation,2011,"2,725,669"
ELECTRICITY GENERATION (MWh),JPS Net Generation,2012,"2,593,595"
ELECTRICITY GENERATION (MWh),JPS Net Generation,2013,"2,342,785"
ELECTRICITY GENERATION (MWh),JPS Net Generation,2014,"2,450,699"
ELECTRICITY GENERATION (MWh),JPS Net Generation,2015,"2,529,909"
ELECTRICITY GENERATION (MWh),JPS Purchases,2010,"1,343,496"
ELECTRICITY GENERATION (MWh),JPS Purchases,2011,"1,411,178"
ELECTRICITY GENERATION (MWh),JPS Purchases,2012,"1,542,319"
ELECTRICITY GENERATION (MWh),JPS Purchases,2013,"1,798,473"
ELECTRICITY GENERATION (MWh),JPS Purchases,2014,"1,660,908"
ELECTRICITY GENERATION (MWh),JPS Purchases,2015,"1,678,414"
ELECTRICITY GENERATION (MWh),Losses,2010,"902,116"
ELECTRICITY GENERATION (MWh),Losses,2011,"961,357"
ELECTRICITY GENERATION (MWh),Losses,2012,"1,032,891"
ELECTRICITY GENERATION (MWh),Losses,2013,"1,097,208"
ELECTRICITY GENERATION (MWh),Losses,2014,"1,102,700"
ELECTRICITY GENERATION (MWh),Losses,2015,"1,136,589"
ELECTRICITY SALES (MWh),Rate 10 (Residential),2010,"1,106,955"
ELECTRICITY SALES (MWh),Rate 10 (Residential),2011,"1,051,219"
ELECTRICITY SALES (MWh),Rate 10 (Residential),2012,"1,025,155"
ELECTRICITY SALES (MWh),Rate 10 (Residential),2013,"986,351"
ELECTRICITY SALES (MWh),Rate 10 (Residential),2014,"981,658"
ELECTRICITY SALES (MWh),Rate 10 (Residential),2015,"1,016,900"
ELECTRICITY SALES (MWh),Rate 20 (General Service),2010,"673,471"
ELECTRICITY SALES (MWh),Rate 20 (General Service),2011,"643,615"
ELECTRICITY SALES (MWh),Rate 20 (General Service),2012,"600,501"
ELECTRICITY SALES (MWh),Rate 20 (General Service),2013,"586,809"
ELECTRICITY SALES (MWh),Rate 20 (General Service),2014,"577,057"
ELECTRICITY SALES (MWh),Rate 20 (General Service),2015,"584,732"
ELECTRICITY SALES (MWh),Rate 40 (Power Service),2010,"750,289"
ELECTRICITY SALES (MWh),Rate 40 (Power Service),2011,"775,584"
