Production,Year ,Amount
Propane,2010," 	32,558 "
Propane,2011," 	41,479 "
Propane,2012," 	43,260 "
Propane,2013," 	33,905 "
Propane,2014," 	13,243 "
Propane,2015," 	18,442 "
Butane,2010," 	55,339 "
Butane,2011," 	81,837 "
Butane,2012," 	62,935 "
Butane,2013," 	34,908 "
Butane,2014," 	52,005 "
Butane,2015," 	58,827 "
Naphta/Solvent,2010,390
Naphta/Solvent,2011,370
Naphta/Solvent,2012,273
Naphta/Solvent,2013,265
Naphta/Solvent,2014,355
Naphta/Solvent,2015,313
Gasoline,2010," 	1,053,239 "
Gasoline,2011," 	1,222,272 "
Gasoline,2012," 	1,134,304 "
Gasoline,2013," 	1,051,319 "
Gasoline,2014," 	876,609 "
Gasoline,2015," 	1,150,016 "
Turbo Fuel,2010," 	781,959 "
Turbo Fuel,2011," 	721,888 "
Turbo Fuel,2012," 	782,567 "
Turbo Fuel,2013," 	762,767 "
Turbo Fuel,2014," 	634,345 "
Turbo Fuel,2015," 	769,896 "
Auto Diesel Oil,2010," 	1,421,017 "
Auto Diesel Oil,2011," 	1,558,309 "
Auto Diesel Oil,2012," 	1,625,616 "
Auto Diesel Oil,2013," 	1,398,836 "
Auto Diesel Oil,2014," 	1,065,491 "
Auto Diesel Oil,2015," 	1,077,859 "
Heavy Fuel Oil,2010," 	4,731,329 "
Heavy Fuel Oil,2011," 	4,826,006 "
Heavy Fuel Oil,2012," 	4,602,190 "
Heavy Fuel Oil,2013," 	4,648,378 "
Heavy Fuel Oil,2014," 	3,861,507 "
Heavy Fuel Oil,2015," 	4,977,618 "
Asphalt,2010," 	62,429 "
Asphalt,2011," 	139,375 "
Asphalt,2012," 	133,491 "
Asphalt,2013," 	94,317 "
Asphalt,2014," 	104,610 "
Asphalt,2015," 	188,265 "
