ACTIVITY,Year,Amount
Road & Rail Transportation,2010,5945220
Road & Rail Transportation,2011,6012476
Road & Rail Transportation,2012,6060084
Road & Rail Transportation,2013,6341969
Road & Rail Transportation,2014,5864638
Road & Rail Transportation,2015,6075465
Shipping,2010,1868525
Shipping,2011,1634809
Shipping,2012,1405023
Shipping,2013,1370487
Shipping,2014,1364651
Shipping,2015,1862027
Aviation,2010,2016839
Aviation,2011,1878787
Aviation,2012,1857082
Aviation,2013,2001160
Aviation,2014,2281941
Aviation,2015,2386345
Cement Manufacture,2010,6844
Cement Manufacture,2011,11698
Cement Manufacture,2012,26338
Cement Manufacture,2013,16262
Cement Manufacture,2014,15285
Cement Manufacture,2015,12498
Electricity Generation,2010,6579797
Electricity Generation,2011,6529445
Electricity Generation,2012,6114353
Electricity Generation,2013,5718995
Electricity Generation,2014,5490942
Electricity Generation,2015,5667511
Bauxite/Alumina Processing,2010,2893641
Bauxite/Alumina Processing,2011,3752927
Bauxite/Alumina Processing,2012,3316616
Bauxite/Alumina Processing,2013,3253410
Bauxite/Alumina Processing,2014,3419650
Bauxite/Alumina Processing,2015,2843861
Sugar Manufacturing,2010,15045
Sugar Manufacturing,2011,15464
Sugar Manufacturing,2012,18213
Sugar Manufacturing,2013,17225
Sugar Manufacturing,2014,14596
Sugar Manufacturing,2015,16035
Residential (Cooking &Lighting),2010,952660
Residential (Cooking &Lighting),2011,987844
Residential (Cooking &Lighting),2012,964062
Residential (Cooking &Lighting),2013,906974
Residential (Cooking &Lighting),2014,806636
Residential (Cooking &Lighting),2015,828363
Other Manufacturing,2010,59705
Other Manufacturing,2011,97373
Other Manufacturing,2012,43277
Other Manufacturing,2013,27274
Other Manufacturing,2014,18455
Other Manufacturing,2015,19034
Other,2010,127499
Other,2011,82279
Other,2012,122276
Other,2013,199193
Other,2014,123361
Other,2015,142838
Petroleum Refinery,2010,268039
Petroleum Refinery,2011,287237
Petroleum Refinery,2012,317309
Petroleum Refinery,2013,247189
Petroleum Refinery,2014,295593
Petroleum Refinery,2015,364385
