Product,Year 1,Amount
ADO (bauxite),2010," 	249,643 "
ADO (bauxite),2011," 	312,532 "
ADO (bauxite),2012," 	307,539 "
ADO (bauxite),2013," 	143,201 "
ADO (bauxite),2014," 	153,232 "
ADO (bauxite),2015," 	144,426 "
ADO -Bunker,2010," 	161,284 "
ADO -Bunker,2011," 	146,385 "
ADO -Bunker,2012," 	145,426 "
ADO -Bunker,2013," 	173,854 "
ADO -Bunker,2014," 	116,925 "
ADO -Bunker,2015," 	108,846 "
Asphalt,2010," 	10,139 "
Asphalt,2011," 	36,255 "
Asphalt,2012,137.00
Asphalt,2013," 	11,570 "
Asphalt,2014," 	33,490 "
Asphalt,2015," 	22,112 "
HFO,2010," 	2,029,970 "
HFO,2011," 	1,451,835 "
HFO,2012," 	1,544,470 "
HFO,2013," 	1,297,982 "
HFO,2014," 	1,227,098 "
HFO,2015," 	1,728,408 "
Turbo,2010," 	1,470,725 "
Turbo,2011," 	1,436,160 "
Turbo,2012," 	1,408,314 "
Turbo,2013," 	1,433,470 "
Turbo,2014," 	1,523,227 "
Turbo,2015," 	1,537,134 "
